beijing,CN101010100
haidian,CN101010200
chaoyang,CN101010300
shunyi,CN101010400
huairou,CN101010500
tongzhou,CN101010600
changping,CN101010700
yanqing,CN101010800
fengtai,CN101010900
shijingshan,CN101011000
daxing,CN101011100
fangshan,CN101011200
miyun,CN101011300
mentougou,CN101011400
pinggu,CN101011500
dongcheng,CN101011600
xicheng,CN101011700
shanghai,CN101020100
minhang,CN101020200
baoshan,CN101020300
huangpu,CN101020400
jiading,CN101020500
pudongxinqu,CN101020600
jinshan,CN101020700
qingpu,CN101020800
songjiang,CN101020900
fengxian,CN101021000
chongming,CN101021100
xuhui,CN101021200
changning,CN101021300
jingan,CN101021400
putuo,CN101021500
hongkou,CN101021600
yangpu,CN101021700
tianjin,CN101030100
wuqing,CN101030200
baodi,CN101030300
dongli,CN101030400
xiqing,CN101030500
beichen,CN101030600
ninghe,CN101030700
heping,CN101030800
jinghai,CN101030900
jinnan,CN101031000
binhaixinqu,CN101031100
hedong,CN101031200
hexi,CN101031300
jizhou,CN101031400
nankai,CN101031500
hebei,CN101031600
hongqiao,CN101031700
chongqing,CN101040100
yongchuan,CN101040200
hechuan,CN101040300
nanchuan,CN101040400
jiangjin,CN101040500
yubei,CN101040700
beibei,CN101040800
banan,CN101040900
changshou,CN101041000
qianjiang,CN101041100
yuzhong,CN101041200
wanzhou,CN101041300
fuling,CN101041400
kaixian,CN101041500
chengkou,CN101041600
yunyang,CN101041700
wuxi,CN101041800
fengjie,CN101041900
wushan,CN101042000
tongnan,CN101042100
dianjiang,CN101042200
liangping,CN101042300
zhongxian,CN101042400
shizhu,CN101042500
dazu,CN101042600
rongchang,CN101042700
tongliang,CN101042800
bishan,CN101042900
fengdu,CN101043000
wulong,CN101043100
pengshui,CN101043200
qijiang,CN101043300
youyang,CN101043400
dadukou,CN101043500
xiushan,CN101043600
jiangbei,CN101043700
shapingba,CN101043800
jiulongpo,CN101043900
nanan,CN101044000
kaizhou,CN101044100
haerbin,CN101050101
shuangcheng,CN101050102
hulan,CN101050103
acheng,CN101050104
binxian,CN101050105
yilan,CN101050106
bayan,CN101050107
tonghe,CN101050108
fangzheng,CN101050109
yanshou,CN101050110
shangzhi,CN101050111
wuchang,CN101050112
mulan,CN101050113
daoli,CN101050114
nangang,CN101050115
daowai,CN101050116
pingfang,CN101050117
songbei,CN101050118
xiangfang,CN101050119
qiqihaer,CN101050201
nehe,CN101050202
longjiang,CN101050203
gannan,CN101050204
fuyu,CN101050205
yian,CN101050206
baiquan,CN101050207
keshan,CN101050208
kedong,CN101050209
tailai,CN101050210
longsha,CN101050211
jianhua,CN101050212
tiefeng,CN101050213
angangxi,CN101050214
fulaerji,CN101050215
nianzishan,CN101050216
meilisi,CN101050217
mudanjiang,CN101050301
hailin,CN101050302
muling,CN101050303
linkou,CN101050304
suifenhe,CN101050305
ningan,CN101050306
dongning,CN101050307
dongan,CN101050308
yangming,CN101050309
aimin,CN101050310
xian,CN101050311
jiamusi,CN101050401
tangyuan,CN101050402
fuyuan,CN101050403
huachuan,CN101050404
huanan,CN101050405
tongjiang,CN101050406
fujin,CN101050407
xiangyang,CN101050408
qianjin,CN101050409
dongfeng,CN101050410
jiaoqu,CN101050411
suihua,CN101050501
zhaodong,CN101050502
anda,CN101050503
hailun,CN101050504
mingshui,CN101050505
wangkui,CN101050506
lanxi,CN101050507
qinggang,CN101050508
qingan,CN101050509
suiling,CN101050510
beilin,CN101050511
heihe,CN101050601
nenjiang,CN101050602
sunwu,CN101050603
xunke,CN101050604
wudalianchi,CN101050605
beian,CN101050606
aihui,CN101050607
daxinganling,CN101050701
tahe,CN101050702
mohe,CN101050703
huma,CN101050704
yichun,CN101050801
wuyiling,CN101050802
wuying,CN101050803
tieli,CN101050804
jiayin,CN101050805
nancha,CN101050806
youhao,CN101050807
xilin,CN101050808
cuiluan,CN101050809
xinqing,CN101050810
meixi,CN101050811
jinshantun,CN101050812
wumahe,CN101050813
tangwanghe,CN101050814
dailing,CN101050815
hongxing,CN101050816
shangganling,CN101050817
daqing,CN101050901
lindian,CN101050902
zhaozhou,CN101050903
zhaoyuan,CN101050904
duerbote,CN101050905
saertu,CN101050906
longfeng,CN101050907
ranghulu,CN101050908
honggang,CN101050909
datong,CN101050910
xinxing,CN101051001
qitaihe,CN101051002
boli,CN101051003
taoshan,CN101051004
qiezihe,CN101051005
jixi,CN101051101
hulin,CN101051102
mishan,CN101051103
jidong,CN101051104
jiguan,CN101051105
hengshan,CN101051106
didao,CN101051107
lishu,CN101051108
chengzihe,CN101051109
mashan,CN101051110
hegang,CN101051201
suibin,CN101051202
luobei,CN101051203
xiangyang,CN101051204
gongnong,CN101051205
nanshan,CN101051206
xingan,CN101051207
dongshan,CN101051208
xingshan,CN101051209
shuangyashan,CN101051301
jixian,CN101051302
baoqing,CN101051303
raohe,CN101051304
youyi,CN101051305
jianshan,CN101051306
lingdong,CN101051307
sifangtai,CN101051308
baoshan,CN101051309
changchun,CN101060101
nongan,CN101060102
dehui,CN101060103
jiutai,CN101060104
yushu,CN101060105
shuangyang,CN101060106
erdao,CN101060107
nanguan,CN101060108
kuancheng,CN101060109
chaoyang,CN101060110
lvyuan,CN101060111
jilin,CN101060201
shulan,CN101060202
yongji,CN101060203
jiaohe,CN101060204
panshi,CN101060205
huadian,CN101060206
changyi,CN101060207
longtan,CN101060208
chuanying,CN101060209
fengman,CN101060210
yanji,CN101060301
dunhua,CN101060302
antu,CN101060303
wangqing,CN101060304
helong,CN101060305
yanbian,CN101060306
longjing,CN101060307
hunchun,CN101060308
tumen,CN101060309
siping,CN101060401
shuangliao,CN101060402
lishu,CN101060403
gongzhuling,CN101060404
yitong,CN101060405
tiexi,CN101060406
tiedong,CN101060407
tonghua,CN101060501
meihekou,CN101060502
liuhe,CN101060503
huinan,CN101060504
jian,CN101060505
tonghuaxian,CN101060506
dongchang,CN101060507
erdaojiang,CN101060508
baicheng,CN101060601
taonan,CN101060602
daan,CN101060603
zhenlai,CN101060604
tongyu,CN101060605
taobei,CN101060606
liaoyuan,CN101060701
dongfeng,CN101060702
dongliao,CN101060703
longshan,CN101060704
xian,CN101060705
songyuan,CN101060801
qianan,CN101060802
qianguo,CN101060803
changling,CN101060804
fuyu,CN101060805
ningjiang,CN101060806
baishan,CN101060901
jingyu,CN101060902
linjiang,CN101060903
changbai,CN101060905
fusong,CN101060906
jiangyuan,CN101060907
hunjiang,CN101060908
shenyang,CN101070101
hunnan,CN101070102
liaozhong,CN101070103
kangping,CN101070104
faku,CN101070105
xinmin,CN101070106
heping,CN101070107
shenhe,CN101070108
dadong,CN101070109
huanggu,CN101070110
tiexi,CN101070111
sujiatun,CN101070112
shenbeixinqu,CN101070113
yuhong,CN101070114
dongling,CN101070115
dalian,CN101070201
wafangdian,CN101070202
jinzhou,CN101070203
pulandian,CN101070204
lvshun,CN101070205
changhai,CN101070206
zhuanghe,CN101070207
zhongshan,CN101070208
xigang,CN101070209
shahekou,CN101070210
ganjingzi,CN101070211
anshan,CN101070301
taian,CN101070302
xiuyan,CN101070303
haicheng,CN101070304
tiedong,CN101070305
tiexi,CN101070306
lishan,CN101070307
qianshan,CN101070308
fushun,CN101070401
xinbin,CN101070402
qingyuan,CN101070403
xinfu,CN101070405
dongzhou,CN101070406
wanghua,CN101070407
shuncheng,CN101070408
benxi,CN101070501
benxixian,CN101070502
pingshan,CN101070503
huanren,CN101070504
xihu,CN101070505
mingshan,CN101070506
nanfen,CN101070507
dandong,CN101070601
fengcheng,CN101070602
kuandian,CN101070603
donggang,CN101070604
yuanbao,CN101070605
zhenxing,CN101070606
zhenan,CN101070607
jinzhou,CN101070701
linghai,CN101070702
guta,CN101070703
yixian,CN101070704
heishan,CN101070705
beizhen,CN101070706
linghe,CN101070707
taihe,CN101070708
yingkou,CN101070801
dashiqiao,CN101070802
gaizhou,CN101070803
zhanqian,CN101070804
xishi,CN101070805
bayuquan,CN101070806
laobian,CN101070807
fuxin,CN101070901
zhangwu,CN101070902
haizhou,CN101070903
xinqiu,CN101070904
taiping,CN101070905
qinghemen,CN101070906
xihe,CN101070907
liaoyang,CN101071001
liaoyangxian,CN101071002
dengta,CN101071003
gongchangling,CN101071004
baita,CN101071005
wensheng,CN101071006
hongwei,CN101071007
taizihe,CN101071008
tieling,CN101071101
kaiyuan,CN101071102
changtu,CN101071103
xifeng,CN101071104
tiefa,CN101071105
yinzhou,CN101071106
qinghe,CN101071107
chaoyang,CN101071201
shuangta,CN101071202
lingyuan,CN101071203
kazuo,CN101071204
beipiao,CN101071205
longcheng,CN101071206
jianpingxian,CN101071207
panjin,CN101071301
dawa,CN101071302
panshan,CN101071303
shuangtaizi,CN101071304
xinglongtai,CN101071305
huludao,CN101071401
jianchang,CN101071402
suizhong,CN101071403
xingcheng,CN101071404
lianshan,CN101071405
longgang,CN101071406
nanpiao,CN101071407
huhehaote,CN101080101
tuzuoqi,CN101080102
tuoxian,CN101080103
helin,CN101080104
qingshuihe,CN101080105
saihan,CN101080106
wuchuan,CN101080107
xincheng,CN101080108
huimin,CN101080109
yuquan,CN101080110
baotou,CN101080201
baiyunebo,CN101080202
tuyouqi,CN101080204
guyang,CN101080205
damaoqi,CN101080206
donghe,CN101080208
kundoulun,CN101080209
qingshan,CN101080210
shiguai,CN101080211
jiuyuan,CN101080212
wuhai,CN101080301
haibowan,CN101080302
hainan,CN101080303
wuda,CN101080304
jining,CN101080401
zhuozi,CN101080402
huade,CN101080403
shangdu,CN101080404
wulanchabu,CN101080405
xinghe,CN101080406
liangcheng,CN101080407
chayouqianqi,CN101080408
chayouzhongqi,CN101080409
chayouhouqi,CN101080410
siziwangqi,CN101080411
fengzhen,CN101080412
tongliao,CN101080501
kezuozhongqi,CN101080503
kezuohouqi,CN101080504
kailu,CN101080506
kulun,CN101080507
naiman,CN101080508
zhalute,CN101080509
keerqin,CN101080510
huolinguole,CN101080512
chifeng,CN101080601
hongshan,CN101080602
aluqi,CN101080603
balinzuoqi,CN101080605
balinyouqi,CN101080606
linxi,CN101080607
keshiketeng,CN101080608
wengniute,CN101080609
kalaqin,CN101080611
ningcheng,CN101080613
aohan,CN101080614
yuanbaoshan,CN101080616
songshan,CN101080617
eerduosi,CN101080701
dalate,CN101080703
zhungeer,CN101080704
eqianqi,CN101080705
etuoke,CN101080708
hangjinqi,CN101080709
wushenqi,CN101080710
yijinhuoluo,CN101080711
dongsheng,CN101080713
linhe,CN101080801
wuyuan,CN101080802
dengkou,CN101080803
wuqianqi,CN101080804
wuzhongqi,CN101080806
wuhouqi,CN101080807
hangjinhouqi,CN101080810
bayannaoer,CN101080811
xilinhaote,CN101080901
xilinguole,CN101080902
erlianhaote,CN101080903
abaga,CN101080904
suzuoqi,CN101080906
suyouqi,CN101080907
dongwuqi,CN101080909
xiwuqi,CN101080910
taipusiqi,CN101080911
xianghuang,CN101080912
zhengxiangbaiqi,CN101080913
zhenglanqi,CN101080914
duolun,CN101080915
hailaer,CN101081001
arongqi,CN101081003
molidawa,CN101081004
elunchunqi,CN101081005
ewenkeqi,CN101081006
chenqi,CN101081007
xinzuoqi,CN101081008
xinyouqi,CN101081009
manzhouli,CN101081010
yakeshi,CN101081011
zhalantun,CN101081012
hulunbeier,CN101081013
eerguna,CN101081014
genhe,CN101081015
zhalainuoer,CN101081017
wulanhaote,CN101081101
aershan,CN101081102
keyouzhongqi,CN101081103
zhanlaite,CN101081105
tuquan,CN101081107
xinganmeng,CN101081108
keyouqianqi,CN101081109
azuoqi,CN101081201
ayouqi,CN101081202
ejina,CN101081203
alashanmeng,CN101081213
shijiazhuang,CN101090101
jingxing,CN101090102
zhengding,CN101090103
luancheng,CN101090104
xingtang,CN101090105
lingshou,CN101090106
gaoyi,CN101090107
shenze,CN101090108
zanhuang,CN101090109
wuji,CN101090110
pingshan,CN101090111
yuanshi,CN101090112
zhaoxian,CN101090113
xinji,CN101090114
gaocheng,CN101090115
jinzhou,CN101090116
xinle,CN101090117
luquan,CN101090118
changan,CN101090119
qiaoxi,CN101090120
xinhua,CN101090121
jingxingkuangqu,CN101090122
yuhua,CN101090123
baoding,CN101090201
mancheng,CN101090202
fuping,CN101090203
xushui,CN101090204
tangxian,CN101090205
gaoyang,CN101090206
rongcheng,CN101090207
jingxiu,CN101090208
laiyuan,CN101090209
wangdu,CN101090210
anxin,CN101090211
yixian,CN101090212
lianchi,CN101090213
quyang,CN101090214
lixian,CN101090215
shunping,CN101090216
xiongxian,CN101090217
zhuozhou,CN101090218
dingzhou,CN101090219
anguo,CN101090220
gaobeidian,CN101090221
laishui,CN101090222
dingxing,CN101090223
qingyuan,CN101090224
boye,CN101090225
nanshi,CN101090226
zhangjiakou,CN101090301
xuanhua,CN101090302
zhangbei,CN101090303
kangbao,CN101090304
guyuan,CN101090305
shangyi,CN101090306
yuxian,CN101090307
yangyuan,CN101090308
huaian,CN101090309
wanquan,CN101090310
huailai,CN101090311
zhuolu,CN101090312
chicheng,CN101090313
chongli,CN101090314
qiaodong,CN101090315
qiaoxi,CN101090316
xiahuayuan,CN101090317
shuangqiao,CN101090401
chengde,CN101090402
chengdexian,CN101090403
xinglong,CN101090404
pingquan,CN101090405
luanping,CN101090406
longhua,CN101090407
fengning,CN101090408
kuancheng,CN101090409
weichang,CN101090410
shuangluan,CN101090411
yingshouyingzikuang,CN101090412
tangshan,CN101090501
fengnan,CN101090502
fengrun,CN101090503
luanxian,CN101090504
luannan,CN101090505
leting,CN101090506
qianxi,CN101090507
yutian,CN101090508
caofeidian,CN101090509
zunhua,CN101090510
qianan,CN101090511
lunan,CN101090513
lubei,CN101090514
guye,CN101090515
kaiping,CN101090516
langfang,CN101090601
guan,CN101090602
yongqing,CN101090603
xianghe,CN101090604
dacheng,CN101090605
wenan,CN101090606
dachang,CN101090607
bazhou,CN101090608
sanhe,CN101090609
anci,CN101090610
guangyang,CN101090611
cangzhou,CN101090701
qingxian,CN101090702
dongguang,CN101090703
haixing,CN101090704
yanshan,CN101090705
suning,CN101090706
nanpi,CN101090707
wuqiao,CN101090708
xianxian,CN101090709
mengcun,CN101090710
botou,CN101090711
renqiu,CN101090712
huanghua,CN101090713
hejian,CN101090714
xinhua,CN101090715
cangxian,CN101090716
yunhe,CN101090717
hengshui,CN101090801
zaoqiang,CN101090802
wuyi,CN101090803
wuqiang,CN101090804
raoyang,CN101090805
anping,CN101090806
gucheng,CN101090807
jingxian,CN101090808
fucheng,CN101090809
jizhou,CN101090810
shenzhou,CN101090811
taocheng,CN101090812
xingtai,CN101090901
lincheng,CN101090902
qiaodong,CN101090903
neiqiu,CN101090904
baixiang,CN101090905
longyao,CN101090906
nanhe,CN101090907
ningjin,CN101090908
julu,CN101090909
xinhe,CN101090910
guangzong,CN101090911
pingxiang,CN101090912
weixian,CN101090913
qinghe,CN101090914
linxi,CN101090915
nangong,CN101090916
shahe,CN101090917
renxian,CN101090918
qiaoxi,CN101090919
handan,CN101091001
fengfeng,CN101091002
linzhang,CN101091003
chengan,CN101091004
daming,CN101091005
shexian,CN101091006
cixian,CN101091007
feixiang,CN101091008
yongnian,CN101091009
qiuxian,CN101091010
jize,CN101091011
guangping,CN101091012
guantao,CN101091013
weixian,CN101091014
quzhou,CN101091015
wuan,CN101091016
hanshan,CN101091017
congtai,CN101091018
fuxing,CN101091019
qinhuangdao,CN101091101
qinglong,CN101091102
changli,CN101091103
funing,CN101091104
lulong,CN101091105
beidaihe,CN101091106
haigang,CN101091107
shanhaiguan,CN101091108
taiyuan,CN101100101
qingxu,CN101100102
yangqu,CN101100103
loufan,CN101100104
gujiao,CN101100105
jiancaopingqu,CN101100106
xiaodianqu,CN101100107
yingze,CN101100108
xinghualing,CN101100109
wanbailin,CN101100110
jinyuan,CN101100111
datong,CN101100201
yanggao,CN101100202
datongxian,CN101100203
tianzhen,CN101100204
guangling,CN101100205
lingqiu,CN101100206
hunyuan,CN101100207
zuoyun,CN101100208
kuangqu,CN101100209
nanjiao,CN101100210
xinrong,CN101100211
yangquan,CN101100301
yuxian,CN101100302
pingding,CN101100303
kuangqu,CN101100304
jiaoqu,CN101100305
jinzhong,CN101100401
yuci,CN101100402
yushe,CN101100403
zuoquan,CN101100404
heshun,CN101100405
xiyang,CN101100406
shouyang,CN101100407
taigu,CN101100408
qixian,CN101100409
pingyao,CN101100410
lingshi,CN101100411
jiexiu,CN101100412
changzhi,CN101100501
licheng,CN101100502
tunliu,CN101100503
lucheng,CN101100504
xiangyuan,CN101100505
pingshun,CN101100506
wuxiang,CN101100507
qinxian,CN101100508
zhangzi,CN101100509
qinyuan,CN101100510
huguan,CN101100511
jiaoqu,CN101100512
jincheng,CN101100601
qinshui,CN101100602
yangcheng,CN101100603
lingchuan,CN101100604
gaoping,CN101100605
zezhou,CN101100606
linfen,CN101100701
quwo,CN101100702
yonghe,CN101100703
xixian,CN101100704
daning,CN101100705
jixian,CN101100706
xiangfen,CN101100707
puxian,CN101100708
fenxi,CN101100709
hongtong,CN101100710
huozhou,CN101100711
xiangning,CN101100712
yicheng,CN101100713
houma,CN101100714
fushan,CN101100715
anze,CN101100716
guxian,CN101100717
yaodou,CN101100718
yuncheng,CN101100801
linyi,CN101100802
jishan,CN101100803
wanrong,CN101100804
hejin,CN101100805
xinjiang,CN101100806
jiangxian,CN101100807
wenxi,CN101100808
yuanqu,CN101100809
yongji,CN101100810
ruicheng,CN101100811
xiaxian,CN101100812
pinglu,CN101100813
yanhu,CN101100814
shuozhou,CN101100901
pinglu,CN101100902
shanyin,CN101100903
youyu,CN101100904
yingxian,CN101100905
huairen,CN101100906
shuocheng,CN101100907
xinzhou,CN101101001
dingxiang,CN101101002
wutaixian,CN101101003
hequ,CN101101004
pianguan,CN101101005
shenchi,CN101101006
ningwu,CN101101007
daixian,CN101101008
fanshi,CN101101009
bode,CN101101011
jingle,CN101101012
kelan,CN101101013
wuzhai,CN101101014
yuanping,CN101101015
xinfu,CN101101016
lvliang,CN101101100
lishi,CN101101101
linxian,CN101101102
xingxian,CN101101103
lanxian,CN101101104
liulin,CN101101105
shilou,CN101101106
fangshan,CN101101107
jiaokou,CN101101108
zhongyang,CN101101109
xiaoyi,CN101101110
fenyang,CN101101111
wenshui,CN101101112
jiaocheng,CN101101113
xian,CN101110101
changan,CN101110102
lintong,CN101110103
lantian,CN101110104
zhouzhi,CN101110105
huxian,CN101110106
gaoling,CN101110107
xincheng,CN101110108
beilin,CN101110109
lianhu,CN101110110
baqiao,CN101110111
weiyang,CN101110112
yanta,CN101110113
yanliang,CN101110114
xianyang,CN101110200
sanyuan,CN101110201
liquan,CN101110202
yongshou,CN101110203
chunhua,CN101110204
jingyang,CN101110205
wugong,CN101110206
qianxian,CN101110207
binxian,CN101110208
changwu,CN101110209
xunyi,CN101110210
xingping,CN101110211
qindou,CN101110212
weicheng,CN101110213
yanan,CN101110300
yanchang,CN101110301
yanchuan,CN101110302
zichang,CN101110303
yichuan,CN101110304
fuxian,CN101110305
zhidan,CN101110306
ansai,CN101110307
ganquan,CN101110308
luochuan,CN101110309
huangling,CN101110310
huanglong,CN101110311
wuqi,CN101110312
baota,CN101110313
yulin,CN101110401
fugu,CN101110402
shenmu,CN101110403
jiaxian,CN101110404
dingbian,CN101110405
jingbian,CN101110406
hengshan,CN101110407
mizhi,CN101110408
zizhou,CN101110409
suide,CN101110410
wubu,CN101110411
qingjian,CN101110412
yuyang,CN101110413
weinan,CN101110501
huaxian,CN101110502
tongguan,CN101110503
dali,CN101110504
baishui,CN101110505
fuping,CN101110506
pucheng,CN101110507
chengcheng,CN101110508
heyang,CN101110509
hancheng,CN101110510
huayin,CN101110511
linwei,CN101110512
huazhou,CN101110513
shangluo,CN101110601
luonan,CN101110602
zhashui,CN101110603
shangzhou,CN101110604
zhenan,CN101110605
danfeng,CN101110606
shangnan,CN101110607
shanyang,CN101110608
ankang,CN101110701
ziyang,CN101110702
shiquan,CN101110703
hanyin,CN101110704
xunyang,CN101110705
langao,CN101110706
pingli,CN101110707
baihe,CN101110708
zhenping,CN101110709
ningshan,CN101110710
hanbin,CN101110711
hanzhong,CN101110801
lueyang,CN101110802
mianxian,CN101110803
liuba,CN101110804
yangxian,CN101110805
chenggu,CN101110806
xixiang,CN101110807
fuoping,CN101110808
ningqiang,CN101110809
nanzheng,CN101110810
zhenba,CN101110811
hantai,CN101110812
baoji,CN101110901
weibin,CN101110902
qianyang,CN101110903
linyou,CN101110904
qishan,CN101110905
fengxiang,CN101110906
fufeng,CN101110907
meixian,CN101110908
taibai,CN101110909
fengxian,CN101110910
longxian,CN101110911
chencang,CN101110912
jintai,CN101110913
tongchuan,CN101111001
yijun,CN101111003
yaozhou,CN101111004
wangyi,CN101111005
yintai,CN101111006
yangling,CN101111101
yangling,CN101111102
jinan,CN101120101
changqing,CN101120102
shanghe,CN101120103
zhangqiu,CN101120104
pingyin,CN101120105
jiyang,CN101120106
lixia,CN101120107
shizhong,CN101120108
huaiyin,CN101120109
tianqiao,CN101120110
licheng,CN101120111
qingdao,CN101120201
laoshan,CN101120202
shinan,CN101120203
jimo,CN101120204
jiaozhou,CN101120205
huangdao,CN101120206
laixi,CN101120207
pingdu,CN101120208
shibei,CN101120209
licang,CN101120210
chengyang,CN101120211
zibo,CN101120301
zichuan,CN101120302
boshan,CN101120303
gaoqing,CN101120304
zhoucun,CN101120305
yiyuan,CN101120306
huantai,CN101120307
linzi,CN101120308
zhangdian,CN101120309
dezhou,CN101120401
wucheng,CN101120402
linyi,CN101120403
qihe,CN101120405
leling,CN101120406
qingyun,CN101120407
pingyuan,CN101120408
ningjin,CN101120409
xiajin,CN101120410
yucheng,CN101120411
decheng,CN101120412
lingcheng,CN101120413
yantai,CN101120501
laizhou,CN101120502
changdao,CN101120503
penglai,CN101120504
longkou,CN101120505
zhaoyuan,CN101120506
qixia,CN101120507
fushan,CN101120508
moup,CN101120509
laiyang,CN101120510
haiyang,CN101120511
zhifu,CN101120512
laishan,CN101120513
weifang,CN101120601
qingzhou,CN101120602
shouguang,CN101120603
linqu,CN101120604
changle,CN101120605
changyi,CN101120606
anqiu,CN101120607
gaomi,CN101120608
zhucheng,CN101120609
weicheng,CN101120610
hanting,CN101120611
fangzi,CN101120612
kuiwen,CN101120613
jining,CN101120701
jiaxiang,CN101120702
weishan,CN101120703
yutai,CN101120704
yanzhou,CN101120705
jinxiang,CN101120706
wenshang,CN101120707
sishui,CN101120708
liangshan,CN101120709
qufu,CN101120710
zoucheng,CN101120711
rencheng,CN101120712
taian,CN101120801
xintai,CN101120802
taishan,CN101120803
feicheng,CN101120804
dongping,CN101120805
ningyang,CN101120806
daiyue,CN101120807
linyi,CN101120901
junan,CN101120902
yinan,CN101120903
lanling,CN101120904
linshu,CN101120905
tancheng,CN101120906
mengyin,CN101120907
pingyi,CN101120908
feixian,CN101120909
yishui,CN101120910
lanshan,CN101120911
luozhuang,CN101120912
hedong,CN101120913
heze,CN101121001
juancheng,CN101121002
yuncheng,CN101121003
dongming,CN101121004
dingtao,CN101121005
